temp,mort100,mort
27.60,5.251,0.05251
26.60,3.559,0.035592
25.40,2.962,0.029621
24.70,5.894,0.058944
25.70,2.864,0.028635
25.60,2.5322,0.025322
24.80,NA,NA
25.60,NA,NA
25.70,NA,NA
23.80,1.057,0.01057
22.50,1.799,0.017987
22.40,1.774,0.017739
21.40,2.027,0.020273
20.90,2.468,0.024684
20.40,2.900,0.029004
26.20,3.081,0.030814
28.10,4.797,0.047969
28.10,4.525,0.045249
29.30,5.147,0.051469
28.80,5.178,0.051784
28.40,3.095,0.030947
29.30,4.780,0.047799
30.50,4.552,0.045524
27.60,4.674,0.046735
27.40,5.039,0.050388
27.20,3.764,0.037643
27.60,3.673,0.036727
26.90,4.097,0.040975
25.70,4.552,0.045516
27.00,4.882,0.048816
26.20,5.166,0.051656
26.00,5.308,0.053079
26.30,4.670,0.046699
25.70,3.672,0.036715
25.50,3.519,0.035186
25.90,3.412,0.034125
25.50,5.303,0.053035
26.80,2.491,0.024905
24.30,3.082,0.030815
25.80,2.570,0.025697
25.70,1.784,0.017838
25.90,2.421,0.024208
23.00,2.596,0.025955
24.30,1.742,0.017418
23.20,2.111,0.021107
24.70,2.675,0.026748
20.50,3.145,0.031447
20.70,3.120,0.031196
19.80,2.947,0.029472
19.80,3.264,0.032643
21.20,2.636,0.026364
19.00,2.363,0.02363
16.40,2.498,0.024983
16.90,2.365,0.023652
18.00,2.302,0.023022
17.80,2.154,0.021544
18.90,2.344,0.023444
18.30,2.282,0.022817
18.20,2.317,0.02317
19.50,2.270,0.022704
19.90,2.644,0.026443
21.30,2.488,0.024875
22.60,2.293,0.022925
25.30,2.385,0.02385
20.00,2.955,0.029551
24.90,2.509,0.025089
28.00,3.057,0.030567
26.80,4.395,0.043952
29.50,5.090,0.050904
27.20,5.747,0.05747
27.80,5.533,0.055331
26.30,5.837,0.058371
29.20,6.245,0.062445
32.6,5.934,0.059343
