Year,Month,Mon-yr,Total,Ox-days,Mean
1990,Jul,01/07/1990,1627,34,47.85
1990,Aug,01/08/1990,660,13,50.77
1990,Sep,01/09/1990,2106,45,46.8
1990,Oct,01/10/1990,1797,35,51.34
1990,Nov,01/11/1990,1885,35,53.86
1990,Dec,01/12/1990,1905,38,50.13
1991,Jan,01/01/1991,2092,41,51.02
1991,Feb,01/02/1991,2542,54,47.07
1991,Mar,01/03/1991,2520,52,48.46
1991,Apr,01/04/1991,2910,59,49.32
1991,May,01/05/1991,2040,48,42.5
1991,Jun,01/06/1991,2274,52,43.73
1991,Jul,01/07/1991,1850,41,45.12
1991,Aug,01/08/1991,2850,58,49.14
1991,Sep,01/09/1991,3656,72,50.78
1991,Oct,01/10/1991,2640,58,45.52
1991,Nov,01/11/1991,1110,26,42.69
1991,Dec,01/12/1991,2932,68,43.12
1992,Jan,01/01/1992,2265,54,41.94
1992,Feb,01/02/1992,2664,63,42.29
1992,Mar,01/03/1992,3408,70,48.69
1992,Apr,01/04/1992,2977,70,42.53
1992,May,01/05/1992,3164,62,51.03
1992,Jun,01/06/1992,2250,49,45.92
1992,Jul,01/07/1992,3068,78,39.33
1992,Aug,01/08/1992,2587,62,41.73
1992,Sep,01/09/1992,1394,34,41
1992,Oct,01/10/1992,1425,35,40.71
1992,Nov,01/11/1992,971,29,33.48
1992,Dec,01/12/1992,949,22,43.14
1993,Jan,01/01/1993,1683,45,37.4
1993,Feb,01/02/1993,1912,55,34.76
1993,Mar,01/03/1993,1011,47,21.51
1993,Apr,01/04/1993,665,23,28.91
1993,May,01/05/1993,1294,51,25.37
1993,Jun,01/06/1993,NA,NA,NA
1993,Jul,01/07/1993,2679,90,29.77
1993,Aug,01/08/1993,1460,38,38.42
1993,Sep,01/09/1993,1109,30,36.97
1993,Oct,01/10/1993,1350,33,40.91
1993,Nov,01/11/1993,2913,75,38.84
1993,Dec,01/12/1993,4109,90,45.66
1994,Jan,01/01/1994,3810,83,45.9
1994,Feb,01/02/1994,4100,93,44.09
1994,Mar,01/03/1994,3369,84,40.11
1994,Apr,01/04/1994,1556,34,45.76
1994,May,01/05/1994,180,5,36
1994,Jun,01/06/1994,650,19,34.21
1994,Jul,01/07/1994,1736,52,33.38
1994,Aug,01/08/1994,1416,43,32.93
1994,Sep,01/09/1994,2031,66,30.77
1994,Oct,01/10/1994,1795,51,35.2
1994,Nov,01/11/1994,745,19,39.21
1994,Dec,01/12/1994,675,19,35.53
1995,Jan,01/01/1995,455,19,23.95
1995,Feb,01/02/1995,978,27,36.22
1995,Mar,01/03/1995,842,26,32.38
1995,Apr,01/04/1995,534,17,31.41
1995,May,01/05/1995,495,16,30.94
1995,Jun,01/06/1995,1080,33,32.73
1995,Jul,01/07/1995,864,26,33.23
1995,Aug,01/08/1995,1316,37,35.57
1995,Sep,01/09/1995,1632,46,35.48
1995,Oct,01/10/1995,744,23,32.35
1995,Nov,01/11/1995,225,8,28.13
1995,Dec,01/12/1995,NA,NA,NA
1996,Jan,01/01/1996,331,11,30.09
1996,Feb,01/02/1996,471,24,19.63
1996,Mar,01/03/1996,NA,NA,NA
1996,Apr,01/04/1996,180,8,22.5
1996,May,01/05/1996,280,12,23.33
1996,Jun,01/06/1996,260,10,26
1996,Jul,01/07/1996,190,9,21.11
1996,Aug,01/08/1996,1283,49,26.18
1996,Sep,01/09/1996,1301,53,24.55
1996,Oct,01/10/1996,1885,66,28.56
1996,Nov,01/11/1996,1095,49,22.35
1996,Dec,01/12/1996,525,27,19.44
1997,Jan,01/01/1997,581,29,20.03
1997,Feb,01/02/1997,135,4,33.75
1997,Mar,01/03/1997,180,7,25.71
1997,Apr,01/04/1997,NA,NA,NA
1997,May,01/05/1997,NA,NA,NA
1997,Jun,01/06/1997,NA,NA,NA
1997,Jul,01/07/1997,NA,NA,NA
1997,Aug,01/08/1997,450,18,25
1997,Sep,01/09/1997,388,16,24.25
1997,Oct,01/10/1997,276,10,27.6
1997,Nov,01/11/1997,685,37,18.51
1997,Dec,01/12/1997,607,28,21.68
1998,Jan,01/01/1998,NA,NA,NA
1998,Feb,01/02/1998,750,33,22.73
1998,Mar,01/03/1998,595,28,21.25
1998,Apr,01/04/1998,1036,39,26.56
1998,May,01/05/1998,1170,46,25.43
1998,Jun,01/06/1998,780,37,21.08
1998,Jul,01/07/1998,450,22,20.45
1998,Aug,01/08/1998,855,41,20.85
1998,Sep,01/09/1998,1635,58,28.19
1998,Oct,01/10/1998,1770,62,28.55
1998,Nov,01/11/1998,795,35,22.71
1998,Dec,01/12/1998,150,7,21.43
1999,Jan,01/01/1999,735,33,22.27
1999,Feb,01/02/1999,885,39,22.69
1999,Mar,01/03/1999,465,24,19.38
1999,Apr,01/04/1999,413,22,18.77
1999,May,01/05/1999,500,24,20.83
1999,Jun,01/06/1999,254,13,19.54
1999,Jul,01/07/1999,773,40,19.33
1999,Aug,01/08/1999,1515,61,24.84
1999,Sep,01/09/1999,1500,53,28.3
1999,Oct,01/10/1999,3119,93,33.54
1999,Nov,01/11/1999,3114,88,35.39
1999,Dec,01/12/1999,1500,51,29.41
2000,Jan,01/01/2000,1424,54,26.37
2000,Feb,01/02/2000,1056,41,25.76
2000,Mar,01/03/2000,1080,41,26.34
2000,Apr,01/04/2000,1740,58,30
2000,May,01/05/2000,900,33,27.27
2000,Jun,01/06/2000,346,16,21.63
2000,Jul,01/07/2000,NA,NA,NA
2000,Aug,01/08/2000,660,27,24.44
2000,Sep,01/09/2000,1326,52,25.5
2000,Oct,01/10/2000,1543,49,31.49
2000,Nov,01/11/2000,1125,46,24.46
2000,Dec,01/12/2000,1058,37,28.59
2001,Jan,01/01/2001,694,33,21.03
2001,Feb,01/02/2001,NA,NA,NA
2001,Mar,01/03/2001,630,33,19.09
2001,Apr,01/04/2001,1084,47,23.06
2001,May,01/05/2001,180,7,25.71
2001,Jun,01/06/2001,98,9,10.89
2001,Jul,01/07/2001,462,28,16.5
2001,Aug,01/08/2001,758,40,18.95
2001,Sep,01/09/2001,2685,92,29.18
2001,Oct,01/10/2001,NA,NA,NA
2001,Nov,01/11/2001,NA,NA,NA
2001,Dec,01/12/2001,930,41,22.68
2002,Jan,01/01/2002,1019,40,25.48
2002,Feb,01/02/2002,780,31,25.16
2002,Mar,01/03/2002,540,26,20.77
