Date,MaxC,MinC,MeanC,Rain
09/10/1959,33.89,20,26.94,0
10/10/1959,33.33,22.78,28.06,0
11/10/1959,37.78,23.33,30.56,0
12/10/1959,39.44,26.11,32.78,0
13/10/1959,39.44,22.78,31.11,0
14/10/1959,38.89,24.44,31.67,0
15/10/1959,36.67,23.89,30.28,0
16/10/1959,37.78,22.78,30.28,0
17/10/1959,38.89,19.44,29.17,0
18/10/1959,40.56,18.89,29.72,0
19/10/1959,40,21.67,30.83,0
20/10/1959,35.56,23.89,29.72,0
21/10/1959,35,21.11,28.06,0
22/10/1959,35.56,19.44,27.5,0
23/10/1959,37.78,22.22,30,0
24/10/1959,37.22,22.22,29.72,0
25/10/1959,37.78,21.67,29.72,0
26/10/1959,37.78,22.78,30.28,0
27/10/1959,39.44,23.89,31.67,0
28/10/1959,38.89,25,31.94,0.76
29/10/1959,37.78,25.56,31.67,0
30/10/1959,40.56,23.33,31.94,0
31/10/1959,41.11,26.11,33.61,0
01/11/1959,41.67,26.11,33.89,1.27
02/11/1959,38.89,25.56,32.22,11.43
03/11/1959,23.33,21.11,22.22,0.76
04/11/1959,30,20.56,25.28,0
05/11/1959,33.89,15,24.44,0
06/11/1959,36.67,16.11,26.39,0
07/11/1959,36.11,18.89,27.5,0
08/11/1959,38.89,18.89,28.89,0
09/11/1959,40,21.67,30.83,0
10/11/1959,40,24.44,32.22,0
11/11/1959,38.89,26.11,32.5,0
12/11/1959,37.22,24.44,30.83,0
13/11/1959,38.33,24.44,31.39,0
14/11/1959,38.89,23.89,31.39,0
15/11/1959,40,25,32.5,0
16/11/1959,33.89,27.22,30.56,0
17/11/1959,27.78,20.56,24.17,4.57
18/11/1959,35.56,20,27.78,1.52
19/11/1959,32.78,23.89,28.33,0
20/11/1959,33.33,25,29.17,0
21/11/1959,28.33,22.22,25.28,0
22/11/1959,35,22.22,28.61,0
23/11/1959,35.56,19.44,27.5,0
24/11/1959,36.11,22.78,29.44,0
25/11/1959,38.33,20,29.17,0
26/11/1959,38.33,21.11,29.72,0
27/11/1959,39.44,20.56,30,0
28/11/1959,41.11,24.44,32.78,0
29/11/1959,40,20,30,0
30/11/1959,40.56,23.89,32.22,0
01/12/1959,40,23.33,31.67,0
02/12/1959,40.56,26.11,33.33,0
